"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Tallapoosa","AL",,"01","123",1120,269900,286500,299000,289000,298250,297500,289900,297500,279000,279000,260750,259500,267000,259450,254500,247000,254450,259900,259450,247000,247000,249000,249000,253450,269000,269000,289000,289000,295000,295000,287000,264500,255500,259000,277000,268500,259000,275000,297900,299000,276000,276000,295000,269900,258000,250000,247000,248000,269900,267450,275000,278000,281950,279000,269900,265000,259000,252500,249000,247000,249450,259000,279000,289000,289000,290000,298750,288950,289900,299000,273950,236750,235000,238500,230000,229000,249000,254500,219000,2e+05,210000,219000,249900,259950,259900,266000,279900,299000,295000,284000,284000,269900
"Suwannee","FL",,"12","121",1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,150000,159900,159875,159900,159450,165000,161200,155000,155250,155500,157000,158000,170000,169900,169900,159900,159000,157000,159900,159900,154450,164250,163200,165000,167450,159900,165000,179700,180000,174900,179000,179000,179500,182000,175000,177750,182200,196250,197000,190000
"Baxter","AR","Mountain Home","05","005",1122,159900,159900,160000,159900,159500,159500,164900,162000,159900,154900,149900,146500,149000,139900,147250,147900,147700,149950,154900,152700,157500,154900,149900,149900,149900,149900,149250,147200,145000,149900,148500,139900,139900,139900,139900,139900,139900,139200,139500,139500,139500,139500,137900,137500,139900,138750,139900,137900,135400,138975,139000,139900,139900,144400,149000,145000,144950,149450,144900,144550,139900,139900,149000,149000,149900,149950,152000,149900,151000,149900,149900,154900,149900,149900,149900,149900,149900,149900,150000,154900,153500,149900,149900,149900,149900,149900,149900,158950,152000,149900,149900,149900
"Delaware","OK",,"40","041",1123,199900,199900,199900,189950,195000,189950,189000,189000,189900,189000,188250,179000,175000,159900,175000,178500,179000,179500,179000,179000,179000,172950,175000,179000,179900,179000,184900,169900,175000,174000,169500,164000,164950,162500,176750,169000,168000,166500,175000,169000,179000,179000,179000,175950,179000,177700,169900,175000,180000,190000,190000,190000,198750,199900,199900,189000,189000,184950,179000,178500,178000,189500,192500,199500,217700,220000,218000,220000,205000,198250,189000,196500,199450,217500,229000,239900,239900,248500,240000,249000,249000,239450,239000,229000,225000,235000,239900,250000,252000,259000,249900,250000
"Polk","GA","Cedartown","13","233",1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,89900,90000,89000,90000,95000,98200,99900,109700,99900,91182,99900,102400,94500,99900,99900,94000,99900,98900,114900,114900,109900,109950,108000,107900,109900,113999,109900,119700,129700,129500,124900,125950,130405,129450,124900,115900,119200,139450,129900,124950,127402,132900,130900,129995,129900
"Wise","VA","Big Stone Gap","51","195",1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,141500,149700,149000,135000,139000,129650,137000,139450,139000,132500,140000,149900,139900,142500,139500,129950,129950,126700,120000,114900,112000,112000,119500,128800,123000,119000,125000,125000,124000,124450,125000,113500,99950,111500,118000,118500,115000,119450,116900,122666.5,118500,118000,119900,115000,108000,104333,104000,99999,104166.5,104975,104333
"Ottawa","OH","Port Clinton","39","123",1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169850,169000,169900,186250,199500,188450,179800,195000,190000,174900,168900,160000,160000,160000,164900,179900,179250,189000,198000,189000,199900,199900,199000,199900,199500,188500,195000,189900,199900,199500,2e+05,199700,214000,209000,199900,209000,199900,189900,189000,189900,199000,209900,214950,199900,199900,199000
"Wharton","TX","El Campo","48","481",1127,117000,110950,119450,116000,117500,117500,106900,120000,125000,120000,120000,125000,129000,125000,127000,129900,133000,129900,129500,129500,129700,125000,130000,125000,125000,121875,115000,115000,119250,129500,129000,119925,117500,121000,120000,120000,120000,119995,118500,120000,119250,120000,119950,124000,130000,135000,136500,135000,130000,129500,126500,130000,125000,125000,129000,131250,127500,129500,132500,125000,130000,125000,128423.5,129000,135000,139000,141000,149000,154900,150000,155000,152000,157500,159900,160000,153500,161500,165000,168000,169400,165000,168000,169900,177700,179950,182500,180000,186250,195000,2e+05,185000,180000
"Montrose","CO","Montrose","08","085",1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229990,238500,239900,233750,229000,229495,225000,229900,239000,244900,240000,249000,230000,232000,239450,249000,249000,239000,235000,233000,239900,249990,249994.5,249999.5,259000,259400,259900,264950,264900,272500,275000,272450,285000,289000,295000,295000,289950,290000,299000,299000,296500,264900,254950,274500,265000,279450,295000,290000,299500,309900
"Mayes","OK",,"40","097",1129,129000,124900,122686.5,120000,132000,135000,135000,135000,135000,135000,136900,130000,129900,132000,135000,129950,125000,125000,125000,119950,124949.5,121000,127000,129000,128000,125000,119950,120000,116000,113450,109000,109000,107250,103500,120000,120000,116500,120000,120750,122950,120000,119500,119950,115000,122500,123500,119750,124000,129900,129900,126500,124700,124950,129700,125000,127000,130250,134000,138000,134750,140000,140000,145000,144900,140000,144900,147990,149442.5,149000,150000,149900,150000,148245,142500,149900,149900,147000,149900,154900,159000,150000,149000,149250,145000,145000,149000,149950,149500,154900,168000,164900,164900
"Davie","NC","Winston-Salem","37","059",1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173700,167500,164700,174500,177950,179200,179900,189950,191990,187900,187000,174900,174500,179900,189900,189000,199000,199900,209950,199900,199900,189900,179900,185000,180000,179900,182150,180000,188250,199000,198845,199700,194500,191650,194750,189950,189900,199900,189900,199000,215000,214900,214900,223900,2e+05,195000,195000,201700,199900,199950,194500,201900,214950,218150,218950,215700,219900
"Webster","LA","Shreveport","22","119",1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176950,165000,168950,161450,160000,159700,159900,159000,146500,155000,149000,142000,130000,139900,145000,129000,150000,154950,166000,179000,165250,166000,139500,145000,169000,164450,149500,145250,147000,147000,144900,137900,149900,133500,129000,129000,125000,139000,135000,118700,125000,125000,125000,125000,124450,119000,117750,114950,114950,119900,124900,119000
"Okanogan","WA",,"53","047",1132,282500,289000,265000,275300,275150,277150,280000,275000,269950,265000,265000,259000,259000,259450,243950,239500,239000,239500,228350,229950,239000,219900,198500,195000,199000,198250,199950,199000,199975,199000,169875,197950,213250,199000,189450,180000,199000,199000,199950,214450,214000,209450,214500,214500,215000,224997.5,219250,214950,205000,210500,205000,225000,217000,224947.5,225000,227900,225000,225000,219750,209450,199000,199900,199900,199250,216250,219700,224947.5,225000,215000,212000,215000,219000,199000,198950,199900,214900,239000,244250,249000,249000,248500,238975,238975,225000,224950,230000,229000,235000,239947.5,242497.5,235000,239450
"Franklin","TN","Tullahoma","47","051",1133,149900,149900,149900,149950,150000,155450,154900,149500,156500,152091,154900,154900,149900,145900,149700,144900,149129,144450,144000,139900,139900,139900,138450,134000,134900,130000,129450,129000,132750,134700,134900,134500,138500,139900,155000,146700,142900,141000,153250,159450,159900,159900,159900,159900,159900,159900,154900,159000,159900,163700,169000,169900,174900,171500,172900,174000,174250,177000,166000,179000,178500,169000,159900,169717,174900,169900,174900,189900,182450,199000,179900,179900,179900,185000,193900,207500,206200,206400,219000,209900,199900,189900,199900,199900,179900,175700,185000,198950,204950,209900,225000,225000
"Pierce","WI","Minneapolis-St Paul","55","093",1134,179900,163900,164900,164900,166250,167500,164900,169000,179900,180000,183200,173400,169900,170000,169900,171900,175000,179000,179900,179900,179900,169900,174900,169900,169500,162700,164500,169000,164900,160000,164900,164900,157900,155620,155000,156500,159900,163500,169900,169700,174950,179900,174900,177900,179000,175000,179850,172500,169900,169900,178350,179900,182350,189900,189775,189900,184400,189900,189900,179950,179450,185000,189900,194900,189950,192700,189000,190000,194750,195000,188450,182000,189000,199900,199900,197950,205000,209500,2e+05,204900,209900,205012,211950,209900,222500,209900,218000,234500,239900,239900,248506.5,249000
