"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,465000,449900,455000,460000,480000,497000,499000,499900,499000,499900,499000,490000,469000,475000,499000,509000,529000,550000,557000,559000,559000,558888,559000,550000,550000,550000,565000,575000,585000,589000,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629000,624999,629000,629000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223472.5,229900,230000,230000,229000,225000,219900,210000,199000,189900,204900,224876,228000,233000,234990,230000,229900,226000,225000,220000,215000,215000,225000,239900,249500,249999,250000,249000,242100,244900,239900,235000,229000,229900,246900,259000,265000,269000,269900,269900,263000
"Harris","TX","Houston","48","201",3,136900,140000,144778.5,145000,144900,144500,140000,142900,153000,151990,154000,149990,149900,149900,149900,149900,150000,152900,150000,149900,142900,143900,139900,140000,140000,140000,144900,146900,147900,149000,148725,149000,147000,147000,159000,160000,160000,169900,174000,177500,179900,179990,179995,180497.5,184900,189900,185997.5,187990,189500,197990,199992.5,210000,214997.5,214900,215000,219880,220486,223167,229000,235155,246390,254990,260990,269900,259900,250000,267990,269900,270657,274900,273990,279500,280490,269900,275000,275000,275000,275000,273990,270967.5,269000,265000,263990,259990,259900,264900,269900,274250,274990,274477.5,269500,268990
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,235000,239000,244900,248900,249900,250000,249000,249000,249900,250000,249000,244900,250945,259900,265000,274000,275000,275000,269000,275000,275000,278000,279900,279900,280000,284000,285000,288000,289000,289500,285000,282500,284000,282449.5,282000,284900,284900,289500,290000,296500,299000,295000,294990,290000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,451500,458444,465000,475000,489000,459000,483500,499000,495000,489500,485000,485000,475000,479700,490000,524000,534800,549000,525000,555000,550000,559000,559900,564000,575000,569000,569000,569000,575000,579000,579000,585000,579000,579000,575000,572400,575000,579000,589000,595000,615000,625000,624000,624900,620000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599900,599000,599500,609000,625000,628000,635000,635000,635000,646235,639000,630000,619000,629000,646367.5,659000,669000,685000,695000,688750,685000,689000,689000,684500,689000,685000,689945,699000,699900,7e+05,712000,710000,709900,709000,716653.5,715000,715990,723990,729900,749000,755000,759900,749999,750000,755000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,429000,436000,449000,449450,459000,450000,439000,449000,449000,449994.5,485000,479000,498250,486000,499000,499000,499000,499000,525000,525000,510000,549000,559000,550000,589000,586000,599950,619000,649000,669000,670000,650000,675000,679000,662200,675000,699000,724000,699000,749000,720000,730000,729000,748000,754000,760000,765000,769000,769000,779000,790000,785805,775000,779000,770000,758000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269000,269900,265000,270000,270000,270000,269900,274900,280000,282850,298500,299999,297985,309000,315000,310000,290000,295000,318000,320000,329000,330000,350000,359000,359990,364900,354900,369900,372000,370000,374900,370000,375500,375000,376995,379000,379000,380000,379990,380000,385000,389000,389000,385000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,177500,187000,195000,2e+05,194500,194900,209900,199000,197000,189900,198999.5,199500,219900,229000,232888,235000,235000,225000,226250,235000,239000,239900,239000,235000,239140,259650,268964.5,275000,275450,273500,269950,274900,279000,275000,275000,277865,289900,295000,310000,319000,315000,309500,299900
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299999,299000,309000,299000,299650,310000,310000,319000,325000,329000,329999,339000,339000,335000,330000,349000,349475,349000,350000,359000,359000,365000,359000,360000,368000,369000,379999,388000,379000,389000,399000,399000,405000,410000,429000,420000,429000,439999,449000,450000,458000,460000,470000,475000,475000,475000,475000,470000,475000,479997,485000,489000,499000,510000,519000,518888,518817.5
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319900,323900,322500,325000,325000,329900,334000,334900,329900,330000,329500,329000,325000,325000,329900,338000,339500,339990,345500,349000,345500,345000,347929,349900,349998.5,350000,350000,355000,359000,359900,364500,365000,365950,363322.5,360000,364500,365000,369000,369900,372250,375000,375555,379000,379900,380000,380000
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,229900,229800,230000,239970,245000,249900,255000,256350,259000,255000,253000,250000,249000,259000,257995,260000,264900,269891.5,275000,276700,276000,279000,279900,279900,279900,279900,280000,285000,287900,290000,297122,299900,299000,298000,295000,295000,295000,290000,297500,299900,3e+05,309900,305000,310000,310000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,179900,175000,178000,180000,185000,189000,190000,190000,199900,2e+05,2e+05,199900,199900,199900,209000,210000,215000,220000,220000,223999,224900,225000,225000,226778,226999,225000,224000,229000,230000,235900,239900,240000,244900,248000,249000,249900,249900,250000,257950,259990,265000,269888,274900,279000,279000
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386562.5,379000,369999,375000,387500,399000,399950,419950,423914,418994,415000,4e+05,385000,350000,370000,399000,418000,434950,441975,449950,449000,449900,449950,449950,449950,449000,445000,449950,467925,484900,499000,499950,499000,489950,499000,499950,499500,489990,495000,504990,538750,549950,574990,585000,579000,565000
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,68500,70000,74000,69900,69900,59900,52900,57200,64900,67500,69900,72000,75000,77500,75000,74900,72500,69900,65000,64900,63180,65788,70000,79900,84900,88750,89500,85000,85000,82000,79000,75000,79000,85000,93000,105900,114900,113800,112500
"Tarrant","TX","Dallas-Fort Worth","48","439",16,139900,140143,143500,145000,145000,145000,144500,144999,155000,149900,142500,138900,135970,134990,138500,139900,140000,146000,144900,139950,137931,139800,135990,134900,134900,136620,137500,138700,139000,140990,139900,135990,135000,139900,161709,162990,164900,168900,169990,174900,179000,179900,179500,178544,178000,176800,174900,175900,174900,179500,182000,188990,190000,186467,189000,191550,190257,190990,189900,196900,199000,2e+05,214610,215000,210000,209900,208500,207500,208000,209000,209900,209994,212000,210000,219000,224997,227500,230000,230000,230000,230000,235000,234990,230900,234900,239900,248000,249900,252000,255000,252000,249900
"Santa Clara","CA","San Jose","06","085",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,679000,675000,699950,729000,742500,749884,749000,749000,731000,739000,729000,699900,695000,715000,774000,799000,829000,849000,850000,849888,841037.5,846500,848944,837699.5,829000,839000,870000,899950,909000,915000,899999,899250,898800,899000,898000,874994,850000,849000,888000,925000,930000,958944,949000,958000,988000
"Broward","FL","Miami-Fort Lauderdale","12","011",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,219900,215000,214900,215000,209900,209900,219000,214900,210000,214000,214900,209900,208000,210000,220000,230000,225000,224900,229500,245000,249000,251800,250000,249900,249500,249000,245900,245000,260000,265000,269900,275000,275000,279900,279900,279950,277900,274900,277900,279900,285900,293000,295000,299000,295000
"Bexar","TX","San Antonio","48","029",19,142500,145000,147000,149500,149900,151970,149950,149900,157115,155900,149900,149000,149500,149900,149500,149900,155900,159500,157000,150000,143995,143990,140990,139900,141900,140000,144000,144995,145000,149900,149500,149900,149000,151500,167900,168500,169900,175000,179900,182000,184970,189000,188500,189500,192000,196990,194000,199000,199000,206300,209997.5,212900,220000,214500,212000,219900,215000,210000,214500,220000,224000,228154,225000,236161,235900,240990,246990,247260,249900,243990,244990,247990,249000,235000,240000,242000,239900,240995,243875,240000,235100,242187,240000,235000,239000,244900,250000,256464.5,257995,260000,259500,254888
"New York","NY","New York","36","061",20,,,,,,,,,,,,,,,,,,,,,,,,,,,890000,898000,910000,925000,899000,890000,899990,915000,990000,995000,995000,975000,1040000,1025000,1025000,1050000,999000,1050000,1032500,1095000,1150000,1150000,1200000,1195000,1189000,1182500,1250000,1275000,1300000,1300000,1350000,1411500,1473500,1500000,1500000,1550000,1550000,1595000,1595000,1595000,1595000,1620000,1700000,1707500,1750000,1824990,1995000,1912500,1750000,1850000,1750000,1725000,1705000,1735000,1725000,1740000,1750000,1750000,1750000,1775000,1750000,1750000,1735000,1725000,1700000,1695000
"Philadelphia","PA","Philadelphia","42","101",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,141700,139900,139900,149900,159900,159900,159900,153000,149900,149900,149750,144900,134900,138550,144900,150000,159900,162000,159900,155000,150000,149900,149999,149900,144422,139900,139900,149800,155000,159900,159900,156000,150000,151099.5,158125,150000,149900,149990,150000,165000,175000,182500,180000,180000,179500
"Alameda","CA","San Francisco","06","001",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,509888,518888,529000,544900,569000,589000,596500,589000,579000,569000,575000,535000,525000,530000,589000,609000,619000,649000,650000,650000,648150,649000,649000,649000,645000,638000,649000,685000,699900,699950,699000,699650,699000,699000,699000,695000,685000,699000,710034,740000,749000,769000,753000,749950,750000
"Middlesex","MA","Boston","25","017",23,299777,329900,340000,349000,349000,349900,345000,339900,349900,349900,349000,334900,334000,339000,339900,347950,350000,349900,345000,339900,340000,339800,325000,309900,319000,329000,339900,359000,359900,355000,349000,339900,339945,345000,375000,369900,369900,379900,389900,399900,409000,419900,418900,399000,409000,414900,399900,399000,395000,415000,420000,439000,449000,439900,429900,429000,439000,439900,439950,434947.5,439000,444447.5,459900,475000,479000,479000,469900,450000,460000,468900,462750,459900,469900,489000,499800,510000,510995,510000,499900,499000,499900,510000,519000,519000,519900,535000,550000,559215,559989.5,560000,550000,549000
"Suffolk","NY","New York","36","103",24,379000,379000,379000,379500,394990,389000,379000,369990,369990,350000,349000,339000,329000,324500,329900,330000,339000,339000,345000,340000,344000,340000,339990,339000,349000,349000,349000,349000,349000,339000,339000,329990,329000,335000,385000,379999,379650,385000,391000,390000,399000,399000,399000,399900,409000,409000,414900,415000,425000,389000,419000,419999.5,425000,429000,429900,429999,439000,449000,425000,449000,429999,434000,429000,425000,429900,437995,434900,434000,435000,432250,429999,429990,436250,430000,439000,439000,444900,449000,449900,449000,459000,459000,460000,459999,459000,475000,475000,479000,479999,499000,489000,488900
"Sacramento","CA","Sacramento","06","067",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297000,299000,299950,309900,309954,309900,307990,305000,312000,312000,310000,315000,315000,319900,325000,329950,329900,329974.5,329900,325211,325000,325000,320000,319900,324900,335000,345000,345000,344000,345000,349000
"Bronx","NY","New York","36","005",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359500,329000,359000,376000,369499.5,359000,307750,310600,330000,340000,349000,328000,329000,349000,329000,349900,350000,329000,350000,379000,379000,375000,359000,339000,320000,329000,325000,325000,329000,319000,339500,349000,349000,365000,375000,359000,349250,362500,369000,349999,325000,319500,320000,325000,325000,328750
"Nassau","NY","New York","36","059",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,389000,379250,369990,360000,423888,419000,419000,429000,429000,440000,449000,449000,449000,445000,448800,439832.5,449000,444700,439990,449000,449000,459000,469945,475000,475000,469000,469000,469000,459000,468999.5,474999,475000,478000,479000,489000,499000,499900,499000,499000,499000,499000,499000,498888,499000,5e+05,525000,529000,539000,545000,539000,539000,544999,549000,539900,529900,529000,539945,549999,575000,579000,575000,569900
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264900,267000,269000,274900,274000,275000,275000,279900,277000,276000,275000,274900,275000,275000,275000,279900,289000,279000,275000,279900,285000,287000,289900,290000,298667.5,297900,299000,299900,3e+05,310000,314500,315000,315000,314999,319000,324900,320000,319900,320000,325000,329000,335000,339000,339000,339900,339000
"Cuyahoga","OH","Cleveland","39","035",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+05,99900,99900,104000,109900,114400,117000,119500,117000,115000,110000,109900,107500,99900,104500,109900,112777,116500,118000,119000,117000,114900,114000,110000,110000,108580,105000,109984,118000,120000,124900,125000,125000,123500,121950,119900,118250,114900,114900,117500,124900,129500,135000,137500,139000,137500
"Hillsborough","FL","Tampa","12","057",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,187990,185900,190900,194900,198017.5,193900,179000,199990,199997,2e+05,2e+05,199990,194900,2e+05,210000,210990,209900,210587.5,214900,215000,227900,229900,231696,235000,231900,234090,229900,234900,239000,230990,231390,230000,227500,225000,229490,229000,225900,233990,239900,240000,247500,250000,250000,249900,249900
"Allegheny","PA","Pittsburgh","42","003",31,102000,115000,119900,122500,124900,124900,124000,120000,125000,124500,123000,119900,119849,120000,122500,123900,124900,124949.5,125000,119900,124900,124900,124900,120000,119000,119000,119900,119900,125000,124900,117900,115000,114900,114900,132900,130000,133900,139000,139900,145000,149000,149000,149000,144900,144900,139900,136950,137900,139900,139900,144900,150000,155900,158000,153000,149900,149000,150000,145000,139945,145940,149900,150000,159000,160000,165000,160000,157500,155000,153900,150000,149900,149000,144900,149900,159900,162000,164900,160000,159900,159900,157000,154000,150000,149900,154900,160000,169999,179000,179350,179000,174900
"Oakland","MI","Detroit","26","125",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,199900,199900,199900,209000,214900,225000,239000,240000,239000,238500,234900,230000,220000,214900,227900,237902.5,239900,245000,249000,249900,245000,244900,245000,244900,245000,245000,240000,246900,250000,264250,269900,274900,274660,269900,269900,270152.5,275000,278000,274894,279900,284900,299000,299900,299900,299900,295000
"Franklin","OH","Columbus","39","049",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123900,127900,131000,133900,134900,133900,131900,132500,129900,129900,127000,128900,135000,139900,145900,149999,149900,147850,145000,144900,139900,135900,139450,142950,149000,152995,164900,165000,165400,164900,164900,160000,161200,155490,157000,159900,164500,174900,178250,179900,179900,174945,175990,174900,173995,169400,164900,169900,184900,195000,199900,199900,199900,198888
"Hennepin","MN","Minneapolis-St Paul","27","053",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239950,234900,229900,239900,249900,259900,269900,265000,268944,269900,269900,262054,259900,260000,269000,279500,284900,284900,289900,289900,295000,289900,289500,289900,289900,290000,299900,299900,299900,299900,299249.5,294900,289900,289900,299900,299900,304900,314900,320430,339900,334900,333999,335000,333154,334000,325000
"Orange","FL","Orlando","12","095",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222990,220000,220000,229000,229000,224900,215000,208900,225000,229900,229900,229900,225000,220000,224900,229994.5,230000,225900,229990,235000,237900,251990,254900,253990,255690,254995,259900,254500,263990,269912,257650,255000,259900,257445,264000,259900,255000,259000,275000,279900,287777,294900,299000,299900,299900,299900
"Fairfax","VA","Washington","51","059",36,350000,374900,399900,420500,424900,425000,425000,419000,415000,409000,399900,390000,379688.5,389900,399000,399970,419900,419900,409900,399900,398700,387960,375000,359999,367860.5,385000,410707,439900,459888,459000,445600,434900,430850,439000,499444,499000,499999,5e+05,524900,529950,543950,538852.5,525000,512000,5e+05,495000,495000,485000,499000,499000,514894,525000,535000,535000,525000,525000,524700,519000,514990,509250,507000,515000,525000,539900,539000,532338.5,499000,524982.5,524900,519000,511000,510000,524249.5,529974.5,549888,560000,564900,550000,547500,540000,539999.5,549900,550000,550000,550000,574900,589900,587500,589900,589000,579900,575000
"Contra Costa","CA","San Francisco","06","013",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,449000,434450,449970,479000,499000,509450,507000,509970,499000,495000,490000,459000,439000,450000,478000,510000,529900,569000,565000,549719,538000,525000,525000,515000,499999,508500,539000,569000,588000,589000,595000,575000,555000,559950,563250,549970,541495,540000,560000,596990,599948,619950,599950,599000,590000
"Salt Lake","UT","Salt Lake City","49","035",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,259900,264900,260995,255799.5,255000,259900,269000,274900,275000,275000,274900,275000,275000,269000,269000,277900,280000,288900,299900,3e+05,309900,314900,316900,315000,314900,309999.5,308000,310000,309900,319900,323840,334900,339750,339000,335000,325000,325000,326499.5,329900,325015,335000,340000,350000,350000,353900,350000,354900
"Travis","TX","Austin","48","453",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263840,265000,275000,279520.5,289900,299900,299000,299000,295000,295000,305000,310000,310000,319500,326093,339000,349900,350000,359990,349900,349000,349900,349500,342990,350000,349900,354990,364700,374900,375000,379925,369000,374900,369579,375000,369625,379000,378995,380000,380990,385000,385000,395000,394990,385192.5,389900,389900,389900,379945,376122.5,385000,393945,399988.5,399999,399000,398249,394900
"Saint Louis","MO","St. Louis","29","189",40,,,,,,,,,,,,,,,,,,,,,,124900,123349.5,119000,125000,119900,123900,129850,134900,135000,130000,129500,129600,129800,144900,139900,136000,144900,150000,158650,159900,164700,155000,150000,149900,149000,139900,139000,134900,139900,145000,152500,160000,160000,159900,157500,154900,150000,144900,139000,138000,146250,155000,160000,164900,169900,169900,160950,160000,160000,158950,150000,149000,149900,164900,187500,189900,186900,184900,179900,175000,172000,169900,161500,157500,164900,179900,197950,205900,215000,215000,205000
"Pima","AZ","Tucson","04","019",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,189900,189000,189500,189950,193744.5,195255,195960,195000,195000,197000,197500,192900,191900,192000,199000,199800,197500,199900,199500,194000,195000,195990,195900,195000,192400,194900,194900,197500,199000,199900,199900,199992.5,199900,199900,204150,207500,207089.5,209900,214950,216100,219000,220000,219000,219900,225000
"Montgomery","MD","Washington","24","031",42,325000,334900,349000,359925,357000,350000,339999.5,329000,329900,339970,347777,329900,324995,325000,335000,349900,362900,369000,370000,365000,369000,374800,360000,349900,350000,365000,380000,390000,414900,409875,399900,399000,389900,397990,419900,399900,399435,409900,424500,439900,449000,449900,439700,429900,439000,429250,419000,418000,4e+05,415000,430000,449000,459000,450000,449000,432990,435000,430000,424900,414750,4e+05,410000,424900,425000,435000,439900,419900,429000,430000,429900,426895,425000,424000,421000,439900,469900,469900,475000,459900,459900,464990,465000,474900,465000,465000,479000,499000,515000,515000,509000,506950,499900
"Honolulu","HI","Urban Honolulu","15","003",43,469000,465900,450000,450000,460000,465000,469000,5e+05,479000,450000,415000,399000,399900,369000,385000,369000,380000,389832.5,420000,448000,440000,449000,429000,433350,434000,430000,439900,446617,439000,419000,415000,415000,4e+05,399000,450000,450000,460000,475000,465200,475000,478000,458900,491900,499000,499000,495000,499000,509350,499000,510000,5e+05,5e+05,510000,510000,510000,520000,520000,510000,525000,538500,549000,550000,549000,544000,550000,565000,569000,580000,579000,585000,588000,590000,590000,535000,590000,599000,599000,622000,625000,625000,626999.5,624900,625000,625000,625000,614900,620000,637000,639000,645000,628000,625000
"Westchester","NY","New York","36","119",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,425000,447000,460225,479000,490000,495000,469000,431000,425000,449000,425000,409000,399900,415000,450000,490000,499900,499000,499000,489000,475000,474950,455000,439000,439000,459000,469000,525000,529000,529000,515000,499000,499000,499000,499000,475000,465000,485000,515000,539900,549000,549000,539000,515000,515000,499900,499000,480000,485000,525000,549000,575000,599000,599000,595000,574900
"Milwaukee","WI","Milwaukee","55","079",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,107000,97200,99900,104900,112900,115000,119900,119900,115900,114900,110000,108900,104500,1e+05,107900,112500,117900,124500,124000,123000,119900,119900,119900,118500,115000,110000,115000,119900,124900,125900,128450,128900,126900,127500,124900,122000,119900,115000,119900,122900,124900,128000,129900,129900,128000
"Fresno","CA","Fresno","06","019",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,229975,229900,236425,239000,239900,240000,245900,249000,249650,249500,240000,235000,235000,239900,247500,249900,250000,259000,262000,265000,262000,259000,251500,250000,250000,249500,249950,250000,250000,259900,259900,265000,264000,264000,260000,257000,259000,250000,255000,259950,270000,279500,279900,285789,284900
"Shelby","TN","Memphis","47","157",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,135900,135900,125000,129900,139900,137000,142900,145000,142500,136900,130000,118000,118000,119900,125000,124500,129500,138000,144000,145000,136900,129000,129900,125900,120000,119900,118900,120000,130000,139900,145000,155000,149900,144900,144000,135000,129900,120000,124900,130000,144900,150000,155000,159900,158000
"Fulton","GA","Atlanta","13","121",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,210000,201328,217025,238700,254450,255945,265000,263000,255000,247950,240000,232101.5,225000,233294,240000,245900,251130,259990,269900,259500,262500,262500,269900,262000,258394,259000,265000,280000,299900,314900,3e+05,307000,299900,299500,302200,3e+05,295175,290000,3e+05,335000,357945,359900,365000,350000,342490
"Mecklenburg","NC","Charlotte","37","119",49,164500,169000,169900,170000,169900,169900,169900,169900,175000,155500,144900,139900,139900,139900,139925,143240,147900,149900,149900,149900,139990,142900,139000,139813,149900,155000,159000,154900,154900,155700,155000,155900,153900,155000,179900,180000,185000,198000,204900,209900,209994,210000,209000,207795,207645,205000,2e+05,199995,192400,199000,209999.5,215150,219469.5,219900,217140,215000,214894,215000,210000,210000,214995,224900,225000,234990,239900,244000,245250,245000,239900,248000,244995,241192.5,250000,262500,274900,276990,280000,279900,283000,275000,275000,275000,279000,280000,279900,280000,289900,3e+05,303339,304700,297500,295000
"Erie","NY","Buffalo","36","029",50,132900,135000,139900,139900,142700,139999.5,139900,139500,139900,135900,139000,138500,139794.5,139900,139900,139900,144900,149000,149000,145000,144900,144850,143000,140950,139900,139900,140000,149900,149900,144900,139900,142500,139900,139000,144500,139900,139900,139900,139900,149000,146900,149000,144900,142999,144900,139900,139000,135000,134900,138900,139900,144250,145000,149900,149900,149000,147500,144900,143200,139900,144900,145000,147700,149900,149900,154900,150000,149900,151000,149900,149900,145000,144900,144500,144900,149900,157500,159900,154788.5,149900,149900,149000,149900,149600,149900,149900,154000,159900,160000,168000,169000,169000
"Du Page","IL","Chicago","17","043",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269000,269500,279277,289000,289000,299000,299900,297995,295000,291500,289999.5,289900,285000,285700,293000,299900,299000,299900,299990,299990,299900,299900,299900,299900,299000,299000,310000,319500,324900,325000,329900,329900,325000,325000,329000,329900,330000,329999,339000,339900,344060,344060,339999,339900,335000
"Fairfield","CT","Stamford","09","001",52,,,479900,484900,499000,498850,489000,479000,489500,489900,489000,459900,469900,459000,451500,466700,475000,479000,469000,449900,449000,449900,449900,449000,440000,450000,468500,479900,489900,489900,474650,449900,475000,475000,479000,470000,474999,499900,5e+05,519900,529250,529900,529000,499500,519900,519000,499500,499000,494000,512000,535000,549000,549000,540000,520995,499994.5,499000,499500,489900,479000,479900,5e+05,529900,527500,529900,532000,525000,517000,520000,519900,510000,499900,499999,529900,545000,550000,549949.5,565000,559900,542995,549000,547500,549000,519000,509250,550000,569900,579995,579947.5,579894,569900,539900
"Pinellas","FL","Tampa","12","103",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,160000,168000,169900,169900,169900,169900,175000,179000,179000,179000,174000,169000,175000,185700,184500,179900,184900,185100,189900,199900,199950,199900,204900,209000,209900,210000,219900,224900,225000,225000,229000,225000,230000,235000,239000,239000,248900,249900,254900,263000,268900,269000,269000,265000
"Bergen","NJ","New York","34","003",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424944,430000,448950,449000,459000,474900,479000,475000,459000,450000,449900,449900,439900,429999,439000,449900,450000,469000,464450,465000,465000,469000,459000,454900,449000,449000,450000,465000,475000,479700,485000,482450,479000,475000,480000,484500,479000,469000,472500,485000,499000,499994,5e+05,509900,499900,499000,499000,499000,495000,489900,499000,517400,530000,549000,549000,549000,549000
"Marion","IN","Indianapolis","18","097",55,,,,,,,,,,,,,,,,,,,,,,,107900,104900,102500,101900,104900,107900,109500,109900,109500,107900,106900,105000,107700,105000,104900,108500,111900,115000,118000,119900,119500,117500,118000,117500,115500,114900,112900,115000,119900,123800,124900,125500,125000,124900,123925,120000,119900,115000,114900,116500,119900,122500,125000,125000,124900,120000,120000,119900,118000,114900,109900,109900,114900,119800,122500,124900,123900,123000,121000,123900,120900,119900,119900,120000,127500,134900,139900,145000,143500,142500
"Wake","NC","Raleigh","37","183",56,224900,225000,224900,224900,225000,224900,219900,223000,225000,219500,219000,218000,211667.5,208963.5,199921,2e+05,205960,209999.5,214800,210000,202990,205000,199211.5,194900,216900,217746,219900,217000,215000,214900,210000,210000,210000,214900,229000,229000,229900,234900,239900,244999,249900,254900,254900,254900,252496,259187,250000,252150,254900,259900,261995,260965,265900,265000,265000,269000,269900,269900,266945,264700,264900,266900,274700,280990,294990,295000,293237.5,297950,294900,295000,295000,290000,298990,299000,3e+05,305000,309900,305000,308945,311812.5,311950,315000,317000,318995,318000,325945,329990,339900,343046,339500,339900,339900
